preds;Attrition_Flag;Customer_Age;Education_Level;Income_Category;Card_Category;Credit_Limit;Avg_Utilization_Ratio;Gender
Client desabonne;Client desabonne;45;High School;$60K - $80K;Blue;12691.0;0.061;M
Client desabonne;Client desabonne;49;Graduate;Less than $40K;Blue;8256.0;0.105;F
Client desabonne;Client desabonne;51;Graduate;$80K - $120K;Blue;3418.0;0.0;M
Client desabonne;Client desabonne;40;Uneducated;$60K - $80K;Blue;4716.0;0.0;M
Client desabonne;Client desabonne;44;Graduate;$40K - $60K;Blue;4010.0;0.311;M
Client desabonne;Client desabonne;37;Uneducated;$60K - $80K;Blue;22352.0;0.113;M
Client desabonne;Client desabonne;48;Graduate;$80K - $120K;Blue;11656.0;0.14400000000000002;M
Client desabonne;Client desabonne;56;College;$80K - $120K;Blue;11751.0;0.0;M
Client desabonne;Client desabonne;57;Graduate;Less than $40K;Blue;2436.0;0.27899999999999997;F
Client desabonne;Client desabonne;48;Post-Graduate;$80K - $120K;Blue;30367.0;0.078;M
Client desabonne;Client desabonne;61;High School;$40K - $60K;Blue;3193.0;0.7879999999999999;M
Client desabonne;Client desabonne;47;Doctorate;$60K - $80K;Blue;20979.0;0.086;M
Client desabonne;Client abonne;62;Graduate;Less than $40K;Blue;1438.3;0.0;F
Client desabonne;Client desabonne;41;High School;$40K - $60K;Blue;4470.0;0.152;M
Client desabonne;Client desabonne;41;Graduate;Less than $40K;Blue;7768.0;0.215;F
Client desabonne;Client desabonne;47;High School;$40K - $60K;Blue;4785.0;0.285;M
Client desabonne;Client desabonne;53;Uneducated;$60K - $80K;Blue;2451.0;0.69;M
Client desabonne;Client desabonne;41;Graduate;$60K - $80K;Blue;8923.0;0.282;M
Client desabonne;Client desabonne;53;College;Less than $40K;Blue;2650.0;0.562;F
Client desabonne;Client desabonne;58;Graduate;$80K - $120K;Blue;12555.0;0.135;M
Client desabonne;Client desabonne;55;College;Less than $40K;Blue;3520.0;0.544;F
Client desabonne;Client desabonne;55;Graduate;Less than $40K;Blue;3035.0;0.757;F
Client desabonne;Client desabonne;42;High School;Less than $40K;Gold;15433.0;0.0;F
Client desabonne;Client desabonne;45;Graduate;$80K - $120K;Blue;32426.0;0.018000000000000002;M
Client desabonne;Client desabonne;50;College;$40K - $60K;Silver;17304.0;0.145;F
Client desabonne;Client desabonne;49;High School;$60K - $80K;Blue;3906.0;0.0;M
Client desabonne;Client desabonne;49;Uneducated;$80K - $120K;Blue;34516.0;0.0;M
